Age,Workout_Type,Session_Duration_Min,Calories_Burned
27,Strength,88,250.0
54,HIIT,69,750.0
33,HIIT,30,
18,HIIT,68,250.0
46,Cardio,108,250.0
43,HIIT,103,750.0
47,Strength,56,400.0
47,Cardio,111,250.0
26,Cardio,35,250.0
27,Cardio,31,250.0
18,Strength,42,400.0
60,HIIT,116,600.0
58,Yoga,30,600.0
54,HIIT,101,250.0
34,Yoga,30,250.0
54,Yoga,88,400.0
29,Strength,56,750.0
42,HIIT,49,600.0
61,Yoga,112,600.0
51,HIIT,101,400.0
26,Yoga,35,400.0
54,Strength,59,600.0
32,Yoga,31,400.0
31,HIIT,91,600.0
23,Cardio,58,
31,HIIT,36,600.0
43,Strength,115,250.0
31,Cardio,117,600.0
46,HIIT,33,250.0
40,HIIT,36,600.0
48,Strength,84,250.0
48,Yoga,38,228.0
43,HIIT,102,250.0
30,Strength,40,250.0
19,Yoga,87,250.0
49,Cardio,114,400.0
54,Yoga,34,250.0
45,Yoga,117,600.0
36,Yoga,95,400.0
47,Cardio,37,600.0
31,Yoga,102,
40,HIIT,73,750.0
41,Cardio,78,600.0
48,Strength,118,250.0
29,Cardio,72,
46,HIIT,51,250.0
28,Cardio,117,750.0
42,Strength,48,250.0
27,Strength,49,750.0
33,HIIT,108,400.0
36,HIIT,62,250.0
34,HIIT,53,250.0
25,Yoga,117,600.0
42,Strength,77,600.0
29,Yoga,86,400.0
35,Strength,77,750.0
64,HIIT,64,400.0
25,Cardio,47,750.0
29,Cardio,48,250.0
46,Strength,98,750.0
51,Yoga,32,
38,Yoga,45,400.0
50,Cardio,71,400.0
42,Strength,101,606.0
62,HIIT,81,750.0
23,Strength,99,600.0
22,Cardio,66,250.0
25,Strength,104,624.0
42,Yoga,58,348.0
42,Strength,111,600.0
62,HIIT,85,250.0
52,Cardio,102,400.0
58,Yoga,36,400.0
33,Strength,46,250.0
31,Cardio,50,750.0
42,Strength,33,750.0
33,Yoga,78,750.0
24,HIIT,106,600.0
39,Strength,106,250.0
60,HIIT,88,600.0
40,Cardio,95,400.0
29,Cardio,112,250.0
30,Strength,53,600.0
46,Cardio,54,324.0
50,HIIT,102,600.0
33,Strength,84,750.0
62,Yoga,110,660.0
58,HIIT,51,
60,Cardio,84,750.0
63,Strength,49,250.0
61,HIIT,84,
51,Cardio,33,750.0
63,Strength,55,
58,Cardio,71,250.0
43,HIIT,44,250.0
27,Yoga,103,250.0
55,Yoga,101,400.0
18,Strength,68,250.0
36,Yoga,79,400.0
41,Cardio,52,400.0
21,Cardio,77,400.0
47,Strength,61,400.0
34,Strength,76,400.0
38,Yoga,35,250.0
36,Strength,44,750.0
32,Strength,106,750.0
33,Yoga,46,750.0
35,Cardio,50,400.0
43,Cardio,112,600.0
64,Yoga,39,400.0
60,Yoga,86,750.0
35,Strength,67,750.0
50,Yoga,36,600.0
35,Strength,60,250.0
59,HIIT,97,750.0
34,Cardio,101,600.0
59,Strength,100,750.0
44,HIIT,83,400.0
30,Strength,86,250.0
48,Yoga,43,250.0
35,HIIT,40,600.0
35,Strength,90,600.0
34,Yoga,63,250.0
18,Cardio,72,750.0
49,HIIT,30,750.0
55,HIIT,118,750.0
27,Cardio,84,750.0
18,Yoga,86,400.0
56,HIIT,66,600.0
40,Strength,117,250.0
50,Strength,96,
20,Yoga,35,750.0
21,Yoga,85,400.0
49,Yoga,47,750.0
53,Strength,31,400.0
45,Strength,103,618.0
36,Cardio,81,486.0
31,Strength,107,400.0
61,Cardio,43,400.0
47,HIIT,37,222.0
63,Strength,56,400.0
29,HIIT,40,400.0
40,Yoga,68,400.0
55,HIIT,39,750.0
29,Cardio,68,250.0
39,Yoga,84,400.0
51,Cardio,88,250.0
49,Strength,63,750.0
61,Yoga,52,600.0
42,Yoga,102,600.0
50,Yoga,84,600.0
55,Cardio,97,600.0
27,Cardio,70,750.0
58,Cardio,77,250.0
55,HIIT,77,250.0
61,HIIT,32,600.0
61,Cardio,53,250.0
44,Yoga,61,600.0
25,Yoga,95,600.0
26,HIIT,86,250.0
39,Cardio,66,250.0
26,HIIT,117,400.0
46,Strength,34,400.0
63,HIIT,108,600.0
48,Yoga,89,600.0
43,HIIT,116,400.0
43,Yoga,60,400.0
32,Strength,74,600.0
35,Strength,34,250.0
39,Yoga,117,600.0
31,Cardio,67,400.0
59,Yoga,96,600.0
51,HIIT,89,400.0
22,Yoga,65,400.0
41,Yoga,96,600.0
48,Strength,87,522.0
46,Yoga,88,250.0
57,Cardio,30,600.0
45,Cardio,82,750.0
57,Yoga,37,600.0
27,Strength,59,600.0
25,Yoga,72,250.0
40,Yoga,102,750.0
50,Strength,110,250.0
21,HIIT,37,600.0
27,Strength,62,400.0
30,Cardio,114,250.0
22,Yoga,105,750.0
48,Yoga,42,250.0
24,HIIT,110,600.0
64,HIIT,103,400.0
28,Strength,95,750.0
48,Strength,67,400.0
27,Yoga,102,400.0
20,Strength,69,750.0
19,Yoga,60,600.0
56,HIIT,69,400.0
60,HIIT,99,594.0
31,Yoga,69,250.0
29,Yoga,87,600.0
23,Cardio,54,750.0
47,Yoga,37,600.0
38,HIIT,113,600.0
60,HIIT,71,750.0
52,Cardio,49,600.0
58,HIIT,54,400.0
64,Yoga,62,600.0
50,HIIT,45,600.0
48,HIIT,116,696.0
40,Strength,63,750.0
23,Yoga,96,600.0
63,Strength,103,400.0
36,Cardio,44,600.0
62,HIIT,67,250.0
19,Yoga,54,750.0
61,Strength,113,
31,Yoga,49,250.0
36,Yoga,93,750.0
45,Cardio,109,750.0
37,Strength,65,400.0
55,Yoga,99,600.0
25,HIIT,119,750.0
42,HIIT,87,600.0
57,HIIT,65,600.0
33,Cardio,96,400.0
24,HIIT,48,750.0
62,Yoga,34,750.0
27,HIIT,105,630.0
18,Cardio,93,400.0
62,HIIT,42,400.0
22,Yoga,88,250.0
32,Strength,104,250.0
63,Strength,45,
22,Strength,61,400.0
24,Cardio,92,400.0
60,Yoga,72,750.0
27,HIIT,68,600.0
62,Strength,76,250.0
54,Cardio,48,600.0
44,Yoga,69,750.0
56,Cardio,33,600.0
38,Yoga,63,400.0
27,Cardio,85,600.0
58,Cardio,76,400.0
34,Cardio,46,600.0
29,Yoga,85,750.0
57,Strength,103,750.0
35,HIIT,66,600.0
57,Cardio,62,250.0
51,Cardio,71,
29,Cardio,33,400.0
32,Yoga,42,400.0
60,Cardio,79,600.0
33,Yoga,87,250.0
39,Cardio,78,250.0
23,Yoga,68,750.0
31,Yoga,96,750.0
58,Strength,90,400.0
21,HIIT,90,750.0
49,Yoga,94,600.0
30,Cardio,96,750.0
41,Cardio,38,400.0
35,HIIT,107,750.0
47,Strength,84,600.0
