Track_Name,Genre,Streams_Millions,Explicit_Content
Track_1,Hip-Hop,122,No
Track_2,Pop,25,No
Track_3,Jazz,34,No
Track_4,Rock,122,Yes
Track_5,Jazz,86,No
Track_6,Hip-Hop,97,Yes
Track_7,Pop,69,No
Track_8,Rock,38,No
Track_9,Electronic,43,No
Track_10,Rock,86,No
Track_11,Hip-Hop,9,No
Track_12,Hip-Hop,82,No
Track_13,Pop,128,No
Track_14,Pop,24,Yes
Track_15,Electronic,23,No
Track_16,Pop,117,Yes
Track_17,Electronic,62,No
Track_18,Pop,64,Yes
Track_19,Rock,46,nan
Track_20,Jazz,78,No
Track_21,Pop,139,nan
Track_22,Hip-Hop,20,No
Track_23,Pop,81,nan
Track_24,Jazz,67,No
Track_25,Jazz,93,No
Track_26,Pop,134,No
Track_27,Hip-Hop,110,No
Track_28,Rock,61,No
Track_29,Pop,121,No
Track_30,Rock,15,No
Track_31,Rock,59,Yes
Track_32,Pop,131,No
Track_33,Pop,80,No
Track_34,Rock,46,Yes
Track_35,Pop,57,No
Track_36,Rock,90,No
Track_37,Jazz,25,No
Track_38,Hip-Hop,48,Yes
Track_39,Rock,98,No
Track_40,Electronic,73,No
Track_41,Pop,29,No
Track_42,Rock,92,No
Track_43,Pop,131,No
Track_44,Hip-Hop,85,No
Track_45,Jazz,147,No
Track_46,Jazz,149,Yes
Track_47,Pop,140,nan
Track_48,Electronic,130,No
Track_49,Pop,144,No
Track_50,Pop,100,No
Track_51,Pop,94,No
Track_52,Pop,132,No
Track_53,Pop,96,No
Track_54,Electronic,121,No
Track_55,Electronic,58,Yes
Track_56,Jazz,64,No
Track_57,Pop,21,No
Track_58,Hip-Hop,134,No
Track_59,Jazz,40,No
Track_60,Rock,52,No
Track_61,Pop,95,No
Track_62,Hip-Hop,76,No
Track_63,Electronic,57,No
Track_64,Hip-Hop,35,Yes
Track_65,Hip-Hop,109,No
Track_66,Pop,126,No
Track_67,Pop,118,No
Track_68,Rock,63,No
Track_69,Pop,74,No
Track_70,Hip-Hop,60,No
Track_71,Electronic,109,nan
Track_72,Rock,6,No
Track_73,Pop,6,No
Track_74,Rock,84,No
Track_75,Jazz,125,No
Track_76,Hip-Hop,149,No
Track_77,Jazz,6,No
Track_78,Electronic,44,No
Track_79,Rock,96,No
Track_80,Pop,97,No
Track_81,Pop,36,nan
Track_82,Pop,143,No
Track_83,Hip-Hop,27,No
Track_84,Jazz,21,No
Track_85,Pop,74,Yes
Track_86,Rock,105,No
Track_87,Hip-Hop,136,No
Track_88,Pop,56,No
Track_89,Jazz,137,No
Track_90,Pop,29,No
Track_91,Hip-Hop,45,Yes
Track_92,Pop,1,No
Track_93,Rock,85,Yes
Track_94,Pop,142,No
Track_95,Rock,90,No
Track_96,Pop,88,No
Track_97,Pop,98,No
Track_98,Pop,124,No
Track_99,Hip-Hop,103,No
Track_100,Hip-Hop,2,No
Track_101,Hip-Hop,126,No
Track_102,Hip-Hop,121,Yes
Track_103,Pop,133,No
Track_104,Pop,18,Yes
Track_105,Electronic,12,No
Track_106,Rock,123,Yes
Track_107,Pop,24,nan
Track_108,Rock,116,Yes
Track_109,Pop,52,No
Track_110,Jazz,103,Yes
Track_111,Pop,110,No
Track_112,Pop,47,No
